,metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
57,0.8419,0.61,0.867,0.8507,all-MiniLM-L12-v2,1600,256,0.0001,warmuplinear,500,True,32,8
58,0.8409,0.6138,0.8313,0.8375,all-MiniLM-L12-v2,400,256,0.0001,warmuplinear,500,True,32,8
59,0.8373,0.6017,0.8657,0.8472,all-MiniLM-L12-v2,800,256,0.0001,warmuplinear,500,True,32,8
60,0.8363,0.6007,0.86,0.8446,all-MiniLM-L12-v2,800,512,0.0001,warmuplinear,500,True,32,8
61,0.8357,0.8369,0.3548,0.6671,all-MiniLM-L12-v2,100,256,0.0001,warmuplinear,500,True,32,8
62,0.7948,0.5952,0.337,0.6343,jinaai/jina-embeddings-v2-small-en,800,256,0.0001,warmuplinear,500,True,32,8
63,0.7936,0.5953,0.3204,0.6277,jinaai/jina-embeddings-v2-small-en,800,512,0.0001,warmuplinear,500,True,32,8
64,0.7881,0.5373,0.5674,0.7107,jinaai/jina-embeddings-v2-small-en,1600,512,0.0001,warmuplinear,500,True,32,8
65,0.7863,0.5335,0.5643,0.7085,jinaai/jina-embeddings-v2-small-en,1600,256,0.0001,warmuplinear,500,True,32,8
66,0.7849,0.5271,0.6309,0.7309,jinaai/jina-embeddings-v2-small-en,12800,512,0.0001,warmuplinear,500,True,32,8
67,0.7842,0.5263,0.6178,0.7259,jinaai/jina-embeddings-v2-small-en,6400,512,0.0001,warmuplinear,500,True,32,8
68,0.7838,0.5262,0.6017,0.72,jinaai/jina-embeddings-v2-small-en,3200,256,0.0001,warmuplinear,500,True,32,8
69,0.7837,0.5253,0.6187,0.7258,jinaai/jina-embeddings-v2-small-en,6400,256,0.0001,warmuplinear,500,True,32,8
70,0.7834,0.5253,0.6052,0.7209,jinaai/jina-embeddings-v2-small-en,3200,512,0.0001,warmuplinear,500,True,32,8
71,0.7834,0.5246,0.6213,0.7266,jinaai/jina-embeddings-v2-small-en,12800,256,0.0001,warmuplinear,500,True,32,8
72,0.7761,0.6344,0.0626,0.5259,jinaai/jina-embeddings-v2-small-en,400,512,0.0001,warmuplinear,500,True,32,8
73,0.7713,0.6667,0.0113,0.5048,jinaai/jina-embeddings-v2-small-en,400,256,0.0001,warmuplinear,500,True,32,8
74,0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,200,512,0.0001,warmuplinear,500,True,32,8
75,0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,200,256,0.0001,warmuplinear,500,True,32,8
76,0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,100,512,0.0001,warmuplinear,500,True,32,8
77,0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,100,256,0.0001,warmuplinear,500,True,32,8
78,0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,100,512,0.0001,warmuplinear,500,True,32,8
79,0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,100,256,0.0001,warmuplinear,500,True,32,8
0,0.8782,0.6913,0.85,0.8683,sentence-transformers/all-mpnet-base-v2,51200,512,0.0001,warmuplinear,500,True,32,8
1,0.878,0.6895,0.8543,0.8697,sentence-transformers/all-mpnet-base-v2,51200,256,0.0001,warmuplinear,500,True,32,8
2,0.8778,0.6903,0.85,0.8681,sentence-transformers/all-mpnet-base-v2,102400,256,0.0001,warmuplinear,500,True,32,8
3,0.8775,0.6908,0.8461,0.8665,sentence-transformers/all-mpnet-base-v2,102400,512,0.0001,warmuplinear,500,True,32,8
4,0.8769,0.6887,0.8483,0.8669,BAAI/bge-base-en-v1.5,102400,256,0.0001,warmuplinear,500,True,32,8
5,0.8757,0.684,0.8543,0.8682,BAAI/bge-base-en-v1.5,51200,256,0.0001,warmuplinear,500,True,32,8
6,0.8756,0.6853,0.8491,0.8663,BAAI/bge-base-en-v1.5,102400,512,0.0001,warmuplinear,500,True,32,8
7,0.8753,0.6829,0.8548,0.8681,sentence-transformers/all-mpnet-base-v2,25600,512,0.0001,warmuplinear,500,True,32,8
8,0.8742,0.6795,0.8574,0.8683,BAAI/bge-base-en-v1.5,25600,256,0.0001,warmuplinear,500,True,32,8
9,0.8736,0.6789,0.8548,0.867,BAAI/bge-base-en-v1.5,51200,512,0.0001,warmuplinear,500,True,32,8
10,0.8734,0.6801,0.8487,0.8647,sentence-transformers/all-mpnet-base-v2,25600,256,0.0001,warmuplinear,500,True,32,8
11,0.8722,0.6776,0.8478,0.8637,BAAI/bge-base-en-v1.5,25600,512,0.0001,warmuplinear,500,True,32,8
12,0.8688,0.6747,0.8296,0.855,sentence-transformers/all-distilroberta-v1,102400,512,0.0001,warmuplinear,500,True,32,8
13,0.8674,0.6722,0.8265,0.8531,sentence-transformers/all-distilroberta-v1,51200,256,0.0001,warmuplinear,500,True,32,8
14,0.8673,0.6686,0.8387,0.8573,all-MiniLM-L12-v2,102400,512,0.0001,warmuplinear,500,True,32,8
15,0.8668,0.6674,0.8391,0.8571,all-MiniLM-L12-v2,102400,256,0.0001,warmuplinear,500,True,32,8
16,0.8662,0.6711,0.8204,0.8502,sentence-transformers/all-distilroberta-v1,102400,256,0.0001,warmuplinear,500,True,32,8
17,0.8661,0.6682,0.83,0.8534,sentence-transformers/all-distilroberta-v1,51200,512,0.0001,warmuplinear,500,True,32,8
18,0.8644,0.6618,0.8396,0.8557,all-MiniLM-L12-v2,51200,512,0.0001,warmuplinear,500,True,32,8
19,0.8642,0.6616,0.8383,0.8551,all-MiniLM-L12-v2,51200,256,0.0001,warmuplinear,500,True,32,8
20,0.8642,0.665,0.8252,0.8505,sentence-transformers/all-distilroberta-v1,25600,512,0.0001,warmuplinear,500,True,32,8
21,0.8633,0.6632,0.8243,0.8496,sentence-transformers/all-distilroberta-v1,25600,256,0.0001,warmuplinear,500,True,32,8
22,0.8622,0.6569,0.8391,0.8541,all-MiniLM-L12-v2,25600,512,0.0001,warmuplinear,500,True,32,8
23,0.8618,0.6548,0.8443,0.8557,all-MiniLM-L12-v2,25600,256,0.0001,warmuplinear,500,True,32,8
24,0.7925,0.5389,0.677,0.752,jinaai/jina-embeddings-v2-small-en,102400,512,0.0001,warmuplinear,500,True,32,8
25,0.7915,0.537,0.6783,0.7518,jinaai/jina-embeddings-v2-small-en,51200,512,0.0001,warmuplinear,500,True,32,8
26,0.7895,0.5341,0.6648,0.7458,jinaai/jina-embeddings-v2-small-en,51200,256,0.0001,warmuplinear,500,True,32,8
27,0.7888,0.533,0.6609,0.7439,jinaai/jina-embeddings-v2-small-en,102400,256,0.0001,warmuplinear,500,True,32,8
28,0.7868,0.5296,0.6539,0.7402,jinaai/jina-embeddings-v2-small-en,25600,512,0.0001,warmuplinear,500,True,32,8
29,0.7862,0.5288,0.647,0.7374,jinaai/jina-embeddings-v2-small-en,25600,256,0.0001,warmuplinear,500,True,32,8
